,Student ID,student_name,gender,grade,school_name,reading_score,math_score
19585,19585,Alicia Butler,F,9th,Bailey High School,69,71
19586,19586,Amanda Adams,F,11th,Bailey High School,91,83
19587,19587,James Brown,M,9th,Bailey High School,76,92
19588,19588,Anthony Holmes,M,11th,Bailey High School,86,76
19589,19589,Jacqueline Williams,F,10th,Bailey High School,79,75
19590,19590,Julie Brown,F,11th,Bailey High School,94,99
19591,19591,Scott Gibson,M,11th,Bailey High School,91,71
19592,19592,Anthony Reeves,M,12th,Bailey High School,99,60
19593,19593,Diane Vargas,F,9th,Bailey High School,99,80
19594,19594,Kathryn Jones,F,10th,Bailey High School,73,97
19595,19595,Emily Martin,F,11th,Bailey High School,68,94
19596,19596,Stephanie Watts,F,11th,Bailey High School,67,59
19597,19597,Michele Oneal,F,9th,Bailey High School,72,77
19598,19598,Robert Crawford,M,10th,Bailey High School,98,61
19599,19599,Michelle Collins,F,10th,Bailey High School,94,67
19600,19600,Jeremy Hodge,M,12th,Bailey High School,77,72
19601,19601,Savannah Gonzalez,F,11th,Bailey High School,95,70
19602,19602,Zachary Garrett III,M,9th,Bailey High School,73,97
19603,19603,Kendra Davis,F,11th,Bailey High School,80,96
19604,19604,Abigail Casey,F,11th,Bailey High School,73,83
19605,19605,Kelly Ellison,F,11th,Bailey High School,82,99
19606,19606,Margaret Gomez,F,12th,Bailey High School,88,94
19607,19607,David Johnson,M,9th,Bailey High School,92,59
19608,19608,Sharon Monroe,F,11th,Bailey High School,89,63
19609,19609,Kristy Pope,F,9th,Bailey High School,88,66
19610,19610,Thomas Harrison Jr.,M,11th,Bailey High School,71,75
19611,19611,Tammy Lee,F,10th,Bailey High School,76,57
19612,19612,Austin Lee,M,11th,Bailey High School,88,74
19613,19613,John Weeks,M,12th,Bailey High School,77,78
19614,19614,Joel Mccarthy,M,10th,Bailey High School,74,91
19615,19615,Jonathan Johnson,M,11th,Bailey High School,75,80
19616,19616,Madison Burns,F,9th,Bailey High School,93,89
19617,19617,Christopher Norman,M,11th,Bailey High School,84,92
19618,19618,Kelly Hughes,F,10th,Bailey High School,79,91
19619,19619,Wendy Hill,F,10th,Bailey High School,89,68
19620,19620,Manuel Meza,M,11th,Bailey High School,74,81
19621,19621,Thomas Foster,M,11th,Bailey High School,63,60
19622,19622,Gabriela Johnson,F,10th,Bailey High School,66,91
19623,19623,Allen Garcia,M,12th,Bailey High School,75,73
19624,19624,Cynthia Moore,F,9th,Bailey High School,90,91
19625,19625,Taylor Reed,F,9th,Bailey High School,77,99
19626,19626,Rodney Fleming,M,11th,Bailey High School,65,82
19627,19627,Nathan Pratt,M,9th,Bailey High School,92,56
19628,19628,Tina Gilbert,F,11th,Bailey High School,79,71
19629,19629,Stephen Robertson,M,10th,Bailey High School,86,90
19630,19630,Amanda Martin,F,9th,Bailey High School,80,65
19631,19631,Kathryn Eaton,F,11th,Bailey High School,86,76
19632,19632,Mark Jackson,M,11th,Bailey High School,75,83
19633,19633,Rachel Hall,F,11th,Bailey High School,99,95
19634,19634,John Hernandez,M,12th,Bailey High School,76,67
19635,19635,Kimberly Sullivan,F,10th,Bailey High School,74,93
19636,19636,Dawn Mcfarland,F,12th,Bailey High School,75,61
19637,19637,Donna Esparza,F,11th,Bailey High School,68,99
19638,19638,Terrance Manning,M,10th,Bailey High School,94,95
19639,19639,Kristy Jackson,F,12th,Bailey High School,63,92
