Student ID,student_name,gender,grade,school_name__renamed,reading_score,math_score
19585,Alicia Butler,F,9th,Bailey High School,69,71
19586,Amanda Adams,F,11th,Bailey High School,91,83
19587,James Brown,M,9th,Bailey High School,76,92
19588,Anthony Holmes,M,11th,Bailey High School,86,76
19589,Jacqueline Williams,F,10th,Bailey High School,79,75
19590,Julie Brown,F,11th,Bailey High School,94,99
19591,Scott Gibson,M,11th,Bailey High School,91,71
19592,Anthony Reeves,M,12th,Bailey High School,99,60
19593,Diane Vargas,F,9th,Bailey High School,99,80
19594,Kathryn Jones,F,10th,Bailey High School,73,97
19595,Emily Martin,F,11th,Bailey High School,68,94
19596,Stephanie Watts,F,11th,Bailey High School,67,59
19597,Michele Oneal,F,9th,Bailey High School,72,77
19598,Robert Crawford,M,10th,Bailey High School,98,61
19599,Michelle Collins,F,10th,Bailey High School,94,67
19600,Jeremy Hodge,M,12th,Bailey High School,77,72
19601,Savannah Gonzalez,F,11th,Bailey High School,95,70
19602,Zachary Garrett III,M,9th,Bailey High School,73,97
19603,Kendra Davis,F,11th,Bailey High School,80,96
19604,Abigail Casey,F,11th,Bailey High School,73,83
19605,Kelly Ellison,F,11th,Bailey High School,82,99
19606,Margaret Gomez,F,12th,Bailey High School,88,94
19607,David Johnson,M,9th,Bailey High School,92,59
19608,Sharon Monroe,F,11th,Bailey High School,89,63
19609,Kristy Pope,F,9th,Bailey High School,88,66
19610,Thomas Harrison Jr.,M,11th,Bailey High School,71,75
19611,Tammy Lee,F,10th,Bailey High School,76,57
19612,Austin Lee,M,11th,Bailey High School,88,74
19613,John Weeks,M,12th,Bailey High School,77,78
19614,Joel Mccarthy,M,10th,Bailey High School,74,91
19615,Jonathan Johnson,M,11th,Bailey High School,75,80
19616,Madison Burns,F,9th,Bailey High School,93,89
19617,Christopher Norman,M,11th,Bailey High School,84,92
19618,Kelly Hughes,F,10th,Bailey High School,79,91
19619,Wendy Hill,F,10th,Bailey High School,89,68
19620,Manuel Meza,M,11th,Bailey High School,74,81
19621,Thomas Foster,M,11th,Bailey High School,63,60
19622,Gabriela Johnson,F,10th,Bailey High School,66,91
19623,Allen Garcia,M,12th,Bailey High School,75,73
19624,Cynthia Moore,F,9th,Bailey High School,90,91
19625,Taylor Reed,F,9th,Bailey High School,77,99
19626,Rodney Fleming,M,11th,Bailey High School,65,82
19627,Nathan Pratt,M,9th,Bailey High School,92,56
19628,Tina Gilbert,F,11th,Bailey High School,79,71
19629,Stephen Robertson,M,10th,Bailey High School,86,90
19630,Amanda Martin,F,9th,Bailey High School,80,65
19631,Kathryn Eaton,F,11th,Bailey High School,86,76
19632,Mark Jackson,M,11th,Bailey High School,75,83
19633,Rachel Hall,F,11th,Bailey High School,99,95
19634,John Hernandez,M,12th,Bailey High School,76,67
19635,Kimberly Sullivan,F,10th,Bailey High School,74,93
19636,Dawn Mcfarland,F,12th,Bailey High School,75,61
19637,Donna Esparza,F,11th,Bailey High School,68,99
19638,Terrance Manning,M,10th,Bailey High School,94,95
19639,Kristy Jackson,F,12th,Bailey High School,63,92
19640,Benjamin Johnson,M,10th,Bailey High School,89,75
19641,Jeff Thompson,M,11th,Bailey High School,84,87
19642,William Smith,M,12th,Bailey High School,80,81
19643,Arthur Hall,M,10th,Bailey High School,71,97
19644,Ruth Anthony,F,12th,Bailey High School,85,72
19645,Anthony Mercer,M,12th,Bailey High School,84,61
19646,Jonathan Henderson,M,12th,Bailey High School,71,74
19647,John Johnson,M,12th,Bailey High School,73,56
19648,Cynthia Gonzalez,F,10th,Bailey High School,74,88
19649,Joann Patton,F,12th,Bailey High School,64,61
19650,Erin Wilson,F,12th,Bailey High School,93,58
19651,David May,M,10th,Bailey High School,83,60
19652,Stephanie Smith,F,10th,Bailey High School,92,86
19653,Teresa Reese,F,11th,Bailey High School,98,69
19654,Barbara White,F,9th,Bailey High School,91,91
19655,Michael Grimes,M,9th,Bailey High School,81,66
19656,Denise Young,F,10th,Bailey High School,83,91
19657,Laura Noble,F,9th,Bailey High School,86,81
19658,Shane Smith,M,10th,Bailey High School,70,73
19659,Kevin Quinn,M,9th,Bailey High School,94,93
19660,Gary Holland,M,10th,Bailey High School,71,85
19661,David Stone,M,9th,Bailey High School,79,97
19662,Tina Evans,F,11th,Bailey High School,84,80
19663,Claudia Goodwin,F,10th,Bailey High School,91,85
19664,Gerald Robbins,M,10th,Bailey High School,63,81
19665,Megan Bennett DVM,F,11th,Bailey High School,94,96
19666,Seth Green,M,9th,Bailey High School,82,82
19667,Jacqueline Livingston,F,10th,Bailey High School,86,79
19668,David Mueller,M,10th,Bailey High School,92,86
19669,Amy Moore,F,9th,Bailey High School,64,75
19670,Emily Beltran,F,10th,Bailey High School,77,76
19671,Jennifer Roberts,F,12th,Bailey High School,95,93
19672,Amanda Morgan,F,10th,Bailey High School,99,98
19673,Mr. Steven Harrison,M,12th,Bailey High School,64,80
19674,Carolyn Arias,F,9th,Bailey High School,91,55
19675,Jennifer Stone,F,12th,Bailey High School,74,64
19676,Amy Mcintosh MD,F,9th,Bailey High School,80,85
19677,Margaret Kim,F,12th,Bailey High School,82,58
19678,Christina Khan,F,9th,Bailey High School,72,61
19679,Dr. Frank Anderson,M,9th,Bailey High School,72,87
19680,Tracy Perez,F,10th,Bailey High School,98,61
19681,Ethan Jones,M,12th,Bailey High School,67,59
19682,Becky Jones,F,9th,Bailey High School,64,69
19683,Kathleen Ramirez,F,9th,Bailey High School,90,89
19684,Catherine Wilson,F,9th,Bailey High School,91,70
19685,Sandra Duncan,F,9th,Bailey High School,84,81
19686,Jeffrey Rivas,M,9th,Bailey High School,99,59
19687,Jordan Cruz,M,9th,Bailey High School,80,62
19688,Walter Garner,M,11th,Bailey High School,85,89
19689,Cindy Cruz,F,9th,Bailey High School,76,65
19690,Tina Rodriguez,F,9th,Bailey High School,92,84
19691,David Rivera,M,9th,Bailey High School,63,94
19692,Brian Silva,M,9th,Bailey High School,75,96
19693,Antonio Mcdonald,M,12th,Bailey High School,98,80
19694,Joseph Murphy,M,9th,Bailey High School,74,64
19695,Maria Gallegos,F,10th,Bailey High School,79,86
19696,Matthew Gibson,M,12th,Bailey High School,65,89
19697,Jeffrey Young,M,11th,Bailey High School,79,81
19698,Antonio Hernandez,M,12th,Bailey High School,77,73
19699,Dawn Hernandez,F,9th,Bailey High School,67,96
19700,Dale Shaw,M,10th,Bailey High School,66,56
19701,Rachel Davis,F,12th,Bailey High School,85,77
19702,Thomas Lopez,M,12th,Bailey High School,86,70
19703,Laura Bright,F,12th,Bailey High School,76,91
19704,Michael Patel,M,9th,Bailey High School,97,66
19705,Breanna Mercer,F,9th,Bailey High School,88,87
19706,Wesley Craig,M,12th,Bailey High School,92,64
19707,Amy Horn,F,11th,Bailey High School,92,98
19708,Julie Davis,F,10th,Bailey High School,81,76
19709,Michelle Lutz,F,10th,Bailey High School,78,59
19710,David Payne,M,9th,Bailey High School,83,93
19711,Courtney Sullivan,F,11th,Bailey High School,88,99
19712,Holly Ford,F,12th,Bailey High School,91,65
19713,Ruth Armstrong,F,9th,Bailey High School,92,57
19714,Jennifer James,F,9th,Bailey High School,77,85
19715,Austin Davis,M,12th,Bailey High School,73,95
19716,Drew Perez,M,12th,Bailey High School,89,93
19717,Rachael Horton,F,9th,Bailey High School,98,69
19718,Jacob Dodson,M,10th,Bailey High School,83,61
19719,Ashley Torres,F,9th,Bailey High School,81,76
19720,Ryan Maldonado,M,11th,Bailey High School,64,55
19721,Michele Rodriguez,F,11th,Bailey High School,76,69
19722,Edward Nash,M,10th,Bailey High School,79,73
19723,Heather Mcdaniel,F,11th,Bailey High School,79,76
19724,Daniel Hale,M,12th,Bailey High School,98,87
19725,Vickie Snyder,F,11th,Bailey High School,89,69
19726,Shelby Cain,F,11th,Bailey High School,94,91
19727,Madison Adkins,F,10th,Bailey High School,70,66
19728,Daniel Cherry,M,9th,Bailey High School,95,88
19729,Amanda Fields,F,9th,Bailey High School,71,74
19730,Debbie Davenport,F,10th,Bailey High School,99,71
19731,Michael Wilson,M,12th,Bailey High School,72,80
19732,Heather Vargas,F,10th,Bailey High School,66,84
19733,William Park,M,12th,Bailey High School,66,81
19734,Christopher Patterson,M,10th,Bailey High School,83,74
19735,Jamie Dawson MD,F,11th,Bailey High School,83,57
19736,Mr. Andrew Mitchell V,M,12th,Bailey High School,82,57
19737,Dr. Travis Richmond,M,10th,Bailey High School,70,65
19738,Elizabeth Joseph,F,12th,Bailey High School,75,66
19739,Vernon Ross,M,9th,Bailey High School,73,56
19740,Paul Williams,M,11th,Bailey High School,65,93
19741,Rachel Lopez,F,11th,Bailey High School,77,98
19742,Marie Hernandez,F,9th,Bailey High School,64,61
19743,Michael Kim,M,9th,Bailey High School,95,97
19744,Kevin Barnett,M,9th,Bailey High School,88,99
19745,Mary Williams,F,9th,Bailey High School,76,87
19746,Kristen Mccann,F,12th,Bailey High School,77,77
19747,Anna Reese,F,10th,Bailey High School,80,78
19748,Justin Warren,M,12th,Bailey High School,82,65
19749,Mrs. Amy Cain,F,10th,Bailey High School,88,56
19750,Darren Sanchez,M,11th,Bailey High School,83,71
