,Source Zipcode,NAICS Code Description,Counts
0,90230,Private Education and Health Services,1
1,90715,Accommodations,1
2,91104,Financial Services,1
3,91112,Real Estate and Rental and Leasing Services,1
4,91403,Private Education and Health Services,1
5,91408,Accommodations,1
6,91458,Financial Services,1
7,91789,Accommodations,1
8,92104,Private Education and Health Services,1
9,92117,Accommodations,1
10,92626,Transportation and Warehousing,1
11,93644,Real Estate and Rental and Leasing Services,1
12,93940,Food Services,1
13,94002,Retail Trade,1
14,94005,"Arts, Entertainment, and Recreation",2
15,94010,Real Estate and Rental and Leasing Services,1
16,94010,Retail Trade,1
17,94010,Transportation and Warehousing,2
18,94011,Wholesale Trade,1
19,94012,Private Education and Health Services,1
20,94012,"Professional, Scientific, and Technical Services",2
21,94012,Real Estate and Rental and Leasing Services,1
22,94012,Retail Trade,2
23,94013,Accommodations,3
24,94013,Certain Services,2
25,94013,Financial Services,1
26,94013,Information,1
27,94013,Private Education and Health Services,1
28,94013,"Professional, Scientific, and Technical Services",1
29,94013,Retail Trade,1
30,94014,Certain Services,1
31,94014,Financial Services,2
32,94014,Information,1
33,94014,Multiple,1
34,94014,"Professional, Scientific, and Technical Services",3
35,94014,Retail Trade,1
36,94015,"Arts, Entertainment, and Recreation",1
37,94015,Food Services,2
38,94015,Information,1
39,94015,Multiple,2
40,94015,"Professional, Scientific, and Technical Services",4
41,94017,"Arts, Entertainment, and Recreation",1
42,94017,Private Education and Health Services,1
43,94017,"Professional, Scientific, and Technical Services",2
44,94017,Real Estate and Rental and Leasing Services,3
45,94017,Retail Trade,1
46,94018,Food Services,1
47,94018,Retail Trade,1
48,94019,"Arts, Entertainment, and Recreation",1
49,94019,Private Education and Health Services,1
50,94019,Real Estate and Rental and Leasing Services,1
51,94019,Retail Trade,1
52,94021,Private Education and Health Services,1
53,94021,Real Estate and Rental and Leasing Services,1
54,94022,"Professional, Scientific, and Technical Services",1
55,94022,Real Estate and Rental and Leasing Services,1
56,94025,Accommodations,1
57,94025,Multiple,1
58,94028,Real Estate and Rental and Leasing Services,1
59,94030,Real Estate and Rental and Leasing Services,1
60,94044,Administrative and Support Services,1
61,94044,Private Education and Health Services,1
62,94065,Financial Services,1
63,94066,Information,2
64,94066,Real Estate and Rental and Leasing Services,2
65,94080,Food Services,2
66,94080,Private Education and Health Services,1
67,94080,Real Estate and Rental and Leasing Services,1
68,94086,"Professional, Scientific, and Technical Services",1
69,94100,Accommodations,1
70,94100,Food Services,1
71,94101,Certain Services,1
72,94101,Construction,2
73,94101,Food Services,6
74,94101,"Professional, Scientific, and Technical Services",4
75,94101,Real Estate and Rental and Leasing Services,5
76,94101,Retail Trade,1
77,94102,Accommodations,300
78,94102,Administrative and Support Services,135
79,94102,"Arts, Entertainment, and Recreation",288
80,94102,Certain Services,204
81,94102,Construction,98
82,94102,Financial Services,78
83,94102,Food Services,576
84,94102,Information,126
85,94102,Insurance,9
86,94102,Manufacturing,36
87,94102,Multiple,130
