,Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
0,0,Paul Bradley,M,9th,Huang High School,66,79,0,District,2917,1910635
1,1,Victor Smith,M,12th,Huang High School,94,61,0,District,2917,1910635
2,2,Kevin Rodriguez,M,12th,Huang High School,90,60,0,District,2917,1910635
3,3,Dr. Richard Scott,M,12th,Huang High School,67,58,0,District,2917,1910635
4,4,Bonnie Ray,F,9th,Huang High School,97,84,0,District,2917,1910635
5,5,Bryan Miranda,M,9th,Huang High School,94,94,0,District,2917,1910635
6,6,Sheena Carter,F,11th,Huang High School,82,80,0,District,2917,1910635
7,7,Nicole Baker,F,12th,Huang High School,96,69,0,District,2917,1910635
8,8,Michael Roth,M,10th,Huang High School,95,87,0,District,2917,1910635
9,9,Matthew Greene,M,10th,Huang High School,96,84,0,District,2917,1910635
10,10,Andrew Alexander,M,10th,Huang High School,90,70,0,District,2917,1910635
11,11,Daniel Cooper,M,10th,Huang High School,78,77,0,District,2917,1910635
12,12,Brittney Walker,F,9th,Huang High School,64,79,0,District,2917,1910635
13,13,William Long,M,9th,Huang High School,71,79,0,District,2917,1910635
14,14,Tammy Hebert,F,10th,Huang High School,85,67,0,District,2917,1910635
15,15,Dr. Jordan Carson,M,11th,Huang High School,94,88,0,District,2917,1910635
16,16,Donald Zamora,M,9th,Huang High School,88,55,0,District,2917,1910635
17,17,Kimberly Santiago,F,9th,Huang High School,74,75,0,District,2917,1910635
18,18,Kevin Stevens,M,9th,Huang High School,64,69,0,District,2917,1910635
19,19,Brandi Lyons,F,9th,Huang High School,89,80,0,District,2917,1910635
20,20,Lisa Davis,F,10th,Huang High School,91,89,0,District,2917,1910635
21,21,Kristen Lopez,F,10th,Huang High School,90,77,0,District,2917,1910635
22,22,Kimberly Stewart,F,11th,Huang High School,99,84,0,District,2917,1910635
23,23,Christopher Parker,M,9th,Huang High School,81,68,0,District,2917,1910635
24,24,Chelsea Griffith,F,11th,Huang High School,85,73,0,District,2917,1910635
25,25,Cesar Morris,M,9th,Huang High School,92,70,0,District,2917,1910635
26,26,Melanie Decker,F,9th,Huang High School,63,85,0,District,2917,1910635
27,27,Tracey Oconnor,F,10th,Huang High School,80,58,0,District,2917,1910635
28,28,Kelly James,F,11th,Huang High School,73,55,0,District,2917,1910635
29,29,Nicole Brown,F,12th,Huang High School,90,88,0,District,2917,1910635
30,30,Bobby Harris,M,9th,Huang High School,94,99,0,District,2917,1910635
31,31,Brian Fernandez,M,10th,Huang High School,97,65,0,District,2917,1910635
32,32,Candace Phelps,F,11th,Huang High School,93,90,0,District,2917,1910635
33,33,Amy Gonzalez,F,12th,Huang High School,95,68,0,District,2917,1910635
34,34,Steven Green,M,11th,Huang High School,65,74,0,District,2917,1910635
35,35,Benjamin Carlson,M,10th,Huang High School,99,61,0,District,2917,1910635
36,36,Kevin Bailey,M,10th,Huang High School,76,76,0,District,2917,1910635
37,37,Jesse Newton,M,10th,Huang High School,63,66,0,District,2917,1910635
38,38,Kimberly Mercado,F,12th,Huang High School,73,77,0,District,2917,1910635
39,39,Gregory Roberts,M,9th,Huang High School,80,61,0,District,2917,1910635
40,40,Matthew Mayer,M,9th,Huang High School,79,69,0,District,2917,1910635
41,41,Jennifer Parks,F,11th,Huang High School,85,95,0,District,2917,1910635
42,42,John Carlson,M,9th,Huang High School,65,89,0,District,2917,1910635
43,43,Megan Roberts,F,9th,Huang High School,66,90,0,District,2917,1910635
44,44,Debra Flores,F,10th,Huang High School,75,66,0,District,2917,1910635
45,45,Heidi Jackson,F,11th,Huang High School,64,93,0,District,2917,1910635
46,46,Denise Bradford,F,12th,Huang High School,73,59,0,District,2917,1910635
47,47,Ellen Brown,F,11th,Huang High School,77,81,0,District,2917,1910635
48,48,Amy Perkins,F,9th,Huang High School,76,66,0,District,2917,1910635
49,49,Natalie Mitchell,F,10th,Huang High School,73,93,0,District,2917,1910635
50,50,Tiffany Gutierrez,F,10th,Huang High School,82,95,0,District,2917,1910635
51,51,Jennifer Hess,F,11th,Huang High School,91,56,0,District,2917,1910635
52,52,Christine Fletcher,F,12th,Huang High School,69,78,0,District,2917,1910635
53,53,Jon Smith,M,9th,Huang High School,96,69,0,District,2917,1910635
54,54,Tracey Yates,F,9th,Huang High School,83,68,0,District,2917,1910635
55,55,Jerry Gordon,M,12th,Huang High School,95,71,0,District,2917,1910635
56,56,Michael Cox,M,11th,Huang High School,72,72,0,District,2917,1910635
57,57,Madeline Snyder MD,F,9th,Huang High School,97,56,0,District,2917,1910635
58,58,Allison King,F,11th,Huang High School,74,84,0,District,2917,1910635
59,59,Theresa Meyer,F,9th,Huang High School,88,70,0,District,2917,1910635
60,60,Jared Wood,M,9th,Huang High School,63,89,0,District,2917,1910635
61,61,Eric Maynard,M,9th,Huang High School,64,95,0,District,2917,1910635
62,62,Mark Owens,M,11th,Huang High School,74,65,0,District,2917,1910635
63,63,Ronnie Conley,M,11th,Huang High School,77,61,0,District,2917,1910635
64,64,Kimberly Davis,F,12th,Huang High School,87,57,0,District,2917,1910635
65,65,Amy Mitchell,F,11th,Huang High School,74,60,0,District,2917,1910635
66,66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,0,District,2917,1910635
67,67,Elizabeth Henderson,F,12th,Huang High School,70,60,0,District,2917,1910635
68,68,James Lopez,M,12th,Huang High School,65,82,0,District,2917,1910635
69,69,Michael Morgan,M,11th,Huang High School,75,89,0,District,2917,1910635
70,70,Angela Francis,F,12th,Huang High School,70,60,0,District,2917,1910635
71,71,Breanna Taylor,F,10th,Huang High School,93,68,0,District,2917,1910635
72,72,Jason Johnson,M,12th,Huang High School,82,65,0,District,2917,1910635
73,73,Kyle Martin,M,10th,Huang High School,72,94,0,District,2917,1910635
74,74,Dr. Scott Gill,M,10th,Huang High School,85,85,0,District,2917,1910635
75,75,Lisa Long,F,10th,Huang High School,87,62,0,District,2917,1910635
76,76,Erin Liu,F,9th,Huang High School,78,76,0,District,2917,1910635
77,77,Marcus Richards,M,12th,Huang High School,83,76,0,District,2917,1910635
78,78,Jason Thompson,M,12th,Huang High School,99,57,0,District,2917,1910635
79,79,Elizabeth Mckinney,F,9th,Huang High School,74,81,0,District,2917,1910635
80,80,Jessica Bailey,F,10th,Huang High School,67,70,0,District,2917,1910635
81,81,Lisa Frye,F,12th,Huang High School,94,73,0,District,2917,1910635
82,82,Lindsey Baker,F,11th,Huang High School,81,57,0,District,2917,1910635
83,83,Lisa Ramirez,F,12th,Huang High School,64,76,0,District,2917,1910635
84,84,Joseph Butler,M,10th,Huang High School,77,63,0,District,2917,1910635
85,85,Tina Lynch,F,10th,Huang High School,94,60,0,District,2917,1910635
86,86,Leah Benitez,F,10th,Huang High School,93,84,0,District,2917,1910635
87,87,Elizabeth Parker,F,10th,Huang High School,85,56,0,District,2917,1910635
88,88,Melissa Hunter,F,10th,Huang High School,90,70,0,District,2917,1910635
89,89,Miss Madison Everett,F,11th,Huang High School,70,78,0,District,2917,1910635
90,90,Ronald Garcia,M,9th,Huang High School,99,86,0,District,2917,1910635
91,91,Mark Cherry,M,10th,Huang High School,96,98,0,District,2917,1910635
92,92,Ryan Stokes,M,9th,Huang High School,75,72,0,District,2917,1910635
93,93,Isaiah Maldonado,M,10th,Huang High School,84,91,0,District,2917,1910635
94,94,Micheal Dennis,M,12th,Huang High School,86,61,0,District,2917,1910635
95,95,Kevin Martinez,M,11th,Huang High School,89,58,0,District,2917,1910635
96,96,Jessica Smith,F,9th,Huang High School,77,72,0,District,2917,1910635
97,97,Dawn Trujillo,F,11th,Huang High School,82,87,0,District,2917,1910635
98,98,Virginia Ramirez MD,F,10th,Huang High School,99,89,0,District,2917,1910635
99,99,Marc Hernandez,M,10th,Huang High School,87,63,0,District,2917,1910635
100,100,Jose Gonzalez,M,12th,Huang High School,69,67,0,District,2917,1910635
101,101,Jason Dennis,M,10th,Huang High School,72,57,0,District,2917,1910635
102,102,Gary Morris,M,11th,Huang High School,74,58,0,District,2917,1910635
103,103,William Mcdonald,M,12th,Huang High School,86,74,0,District,2917,1910635
104,104,Michael Savage,M,9th,Huang High School,75,66,0,District,2917,1910635
105,105,Alexis Todd,F,11th,Huang High School,82,95,0,District,2917,1910635
106,106,David Hansen,M,10th,Huang High School,76,86,0,District,2917,1910635
107,107,Steven Mendez,M,12th,Huang High School,68,88,0,District,2917,1910635
108,108,Ryan Lynch,M,12th,Huang High School,77,67,0,District,2917,1910635
109,109,Timothy Marks,M,9th,Huang High School,78,62,0,District,2917,1910635
110,110,Alexander Johns,M,10th,Huang High School,67,77,0,District,2917,1910635
111,111,Kenneth Chavez,M,9th,Huang High School,70,79,0,District,2917,1910635
112,112,Dennis Williams,M,10th,Huang High School,88,67,0,District,2917,1910635
113,113,Michael Roy,M,12th,Huang High School,85,73,0,District,2917,1910635
114,114,Richard Ryan,M,12th,Huang High School,88,86,0,District,2917,1910635
115,115,Matthew Reyes,M,12th,Huang High School,79,60,0,District,2917,1910635
116,116,Stephanie Ward,F,11th,Huang High School,75,69,0,District,2917,1910635
117,117,Christopher Tucker,M,10th,Huang High School,80,90,0,District,2917,1910635
118,118,Daniel Jones,M,12th,Huang High School,66,68,0,District,2917,1910635
119,119,Devin Craig,M,10th,Huang High School,65,80,0,District,2917,1910635
120,120,Erin Prince,F,12th,Huang High School,88,81,0,District,2917,1910635
121,121,Bernard Ortiz,M,11th,Huang High School,78,76,0,District,2917,1910635
122,122,Nicole Miller,F,10th,Huang High School,98,57,0,District,2917,1910635
123,123,Christopher Fritz,M,9th,Huang High School,88,77,0,District,2917,1910635
124,124,Bonnie Mckinney,F,11th,Huang High School,63,65,0,District,2917,1910635
125,125,Troy Nelson,M,11th,Huang High School,79,63,0,District,2917,1910635
126,126,Jennifer Lee,F,12th,Huang High School,93,66,0,District,2917,1910635
127,127,Ronald Ward,M,10th,Huang High School,74,89,0,District,2917,1910635
128,128,Nathaniel Hampton,M,11th,Huang High School,70,81,0,District,2917,1910635
129,129,Michael Travis,M,11th,Huang High School,65,79,0,District,2917,1910635
130,130,James Taylor,M,9th,Huang High School,77,71,0,District,2917,1910635
131,131,Thomas Strickland,M,9th,Huang High School,63,77,0,District,2917,1910635
132,132,Brittany Jackson,F,9th,Huang High School,79,57,0,District,2917,1910635
133,133,Marisa Lowe,F,9th,Huang High School,95,95,0,District,2917,1910635
134,134,Nicole Thomas,F,9th,Huang High School,83,59,0,District,2917,1910635
135,135,Matthew Rodriguez,M,12th,Huang High School,80,79,0,District,2917,1910635
136,136,Kent Fernandez,M,12th,Huang High School,66,58,0,District,2917,1910635
137,137,Michelle Martin,F,12th,Huang High School,86,92,0,District,2917,1910635
138,138,John Sparks,M,9th,Huang High School,74,91,0,District,2917,1910635
139,139,Ann Blake,F,11th,Huang High School,97,75,0,District,2917,1910635
140,140,Melissa Miller,F,12th,Huang High School,76,67,0,District,2917,1910635
141,141,Steven Houston,M,9th,Huang High School,99,71,0,District,2917,1910635
142,142,Kristen Anderson,F,11th,Huang High School,78,76,0,District,2917,1910635
143,143,Cory Jones,M,11th,Huang High School,82,73,0,District,2917,1910635
144,144,Jennifer Mora,F,10th,Huang High School,98,73,0,District,2917,1910635
145,145,Dennis Griffin,M,9th,Huang High School,78,71,0,District,2917,1910635
146,146,Darryl Brown,M,10th,Huang High School,98,90,0,District,2917,1910635
147,147,Martin Mosley,M,10th,Huang High School,90,67,0,District,2917,1910635
148,148,Joyce Diaz,F,10th,Huang High School,85,58,0,District,2917,1910635
149,149,Jeffrey Rose,M,12th,Huang High School,81,91,0,District,2917,1910635
150,150,Jamie Moreno,F,9th,Huang High School,78,99,0,District,2917,1910635
151,151,Catherine Williams,F,9th,Huang High School,66,56,0,District,2917,1910635
152,152,Lauren Byrd,F,11th,Huang High School,66,92,0,District,2917,1910635
153,153,Vanessa Frazier,F,10th,Huang High School,85,82,0,District,2917,1910635
154,154,Stephen Bryant,M,11th,Huang High School,83,77,0,District,2917,1910635
155,155,Lawrence Liu,M,12th,Huang High School,82,73,0,District,2917,1910635
156,156,Joseph Larsen,M,9th,Huang High School,88,82,0,District,2917,1910635
157,157,Susan Collier,F,11th,Huang High School,76,92,0,District,2917,1910635
158,158,Meagan Jensen,F,9th,Huang High School,66,67,0,District,2917,1910635
159,159,Julie Harper,F,12th,Huang High School,88,73,0,District,2917,1910635
160,160,Meghan Carroll,F,12th,Huang High School,75,98,0,District,2917,1910635
161,161,Wanda Horton,F,11th,Huang High School,68,88,0,District,2917,1910635
162,162,Mary Campbell,F,10th,Huang High School,72,56,0,District,2917,1910635
163,163,Jennifer Rodgers,F,11th,Huang High School,83,98,0,District,2917,1910635
164,164,Heather Cooper,F,12th,Huang High School,85,61,0,District,2917,1910635
165,165,Ryan Perez,M,11th,Huang High School,70,87,0,District,2917,1910635
166,166,Ryan Cox,M,12th,Huang High School,95,72,0,District,2917,1910635
167,167,Darren Zavala,M,10th,Huang High School,64,84,0,District,2917,1910635
168,168,Joseph Morales III,M,10th,Huang High School,64,85,0,District,2917,1910635
169,169,Aaron West,M,10th,Huang High School,98,67,0,District,2917,1910635
170,170,James Combs,M,10th,Huang High School,65,82,0,District,2917,1910635
171,171,Curtis Garner,M,10th,Huang High School,79,78,0,District,2917,1910635
172,172,Sarah Miller,F,10th,Huang High School,94,71,0,District,2917,1910635
173,173,Samantha Thomas,F,10th,Huang High School,92,62,0,District,2917,1910635
174,174,Robert Atkins,M,9th,Huang High School,85,97,0,District,2917,1910635
175,175,Alexis Crawford,M,10th,Huang High School,70,82,0,District,2917,1910635
176,176,Ryan Maddox,M,11th,Huang High School,80,80,0,District,2917,1910635
177,177,Jonathan Meyer,M,9th,Huang High School,65,79,0,District,2917,1910635
178,178,Donna Wagner,F,10th,Huang High School,95,61,0,District,2917,1910635
179,179,William Kennedy,M,11th,Huang High School,76,56,0,District,2917,1910635
180,180,Kimberly Martinez,F,11th,Huang High School,84,83,0,District,2917,1910635
181,181,Matthew Anderson,M,11th,Huang High School,92,99,0,District,2917,1910635
182,182,Kari Miller,F,9th,Huang High School,88,55,0,District,2917,1910635
183,183,Jenna Luna,F,9th,Huang High School,73,91,0,District,2917,1910635
184,184,Justin Contreras,M,12th,Huang High School,89,63,0,District,2917,1910635
185,185,Mary Fox,F,11th,Huang High School,94,92,0,District,2917,1910635
186,186,Joseph Perkins,M,10th,Huang High School,96,76,0,District,2917,1910635
187,187,Kelly Phillips,F,12th,Huang High School,78,90,0,District,2917,1910635
188,188,Justin Thornton,M,11th,Huang High School,65,61,0,District,2917,1910635
189,189,Joshua Barber,M,10th,Huang High School,77,61,0,District,2917,1910635
190,190,Travis Jackson,M,11th,Huang High School,86,96,0,District,2917,1910635
191,191,Jordan Beasley,F,10th,Huang High School,96,59,0,District,2917,1910635
192,192,Kevin Allen,M,12th,Huang High School,68,63,0,District,2917,1910635
193,193,Victoria Harris,F,11th,Huang High School,89,59,0,District,2917,1910635
194,194,Victoria Joseph,F,12th,Huang High School,72,56,0,District,2917,1910635
